Selling_Price,Transmission,Selling_type,Owner,Year,Car_Name,Present_Price,Fuel_Type,Driven_kms
0.3,Manual,Individual,0,2013,Honda CB Shine,0.58,Petrol,30000
0.25,Automatic,Individual,0,2008,Suzuki Access 125,0.58,Petrol,1900
0.25,Automatic,Individual,0,2010,TVS Wego,0.52,Petrol,22000
3.25,Manual,Dealer,0,2015,wagon r,5.09,CNG,35500
0.42,Manual,Individual,0,2013,Honda CB Trigger,0.73,Petrol,12000
0.2,Manual,Individual,1,2013,Hero  Ignitor Disc,0.65,Petrol,24000
0.6,Manual,Individual,0,2016,Yamaha FZ  v 2.0,0.84,Petrol,25000
2.1,Manual,Dealer,0,2006,city,7.6,Petrol,50456
2.65,Manual,Dealer,0,2013,ritz,4.89,Petrol,64532
0.35,Manual,Individual,0,2011,Honda Karizma,1.05,Petrol,30000
4.9,Manual,Dealer,0,2014,etios cross,8.93,Diesel,83000
1.5,Automatic,Dealer,0,2004,corolla,12.35,Petrol,135154
2.5,Manual,Dealer,0,2014,alto k10,3.46,Petrol,45280
1.1,Manual,Individual,0,2013,Royal Enfield Classic 350,1.47,Petrol,33000
5.5,Manual,Dealer,0,2013,corolla altis,14.68,Petrol,72000
11.25,Manual,Dealer,0,2014,innova,16.09,Diesel,58242
0.35,Automatic,Individual,0,2014,TVS Jupyter,0.52,Petrol,19000
5.5,Manual,Dealer,0,2016,brio,5.97,Petrol,5600
3.35,Manual,Dealer,0,2009,city,11,Petrol,87934
2.25,Manual,Dealer,0,2009,dzire,7.21,Petrol,77427
7.05,Manual,Dealer,0,2013,corolla altis,18.61,Petrol,45000
3.9,Manual,Dealer,0,2014,amaze,7,Petrol,36054
1.35,Manual,Individual,0,2015,KTM RC390,2.37,Petrol,21700
6,Manual,Dealer,0,2014,ertiga,9.95,Diesel,45000
5.25,Manual,Dealer,0,2016,i20,7.6,Petrol,17000
0.31,Manual,Individual,0,2010,Honda Karizma,1.05,Petrol,213000
9.65,Manual,Dealer,0,2010,fortuner,20.45,Diesel,50024
7.75,Manual,Dealer,0,2016,ertiga,10.79,Diesel,43000
2.85,Manual,Dealer,0,2011,wagon r,4.15,Petrol,5200
8.4,Manual,Dealer,0,2015,city,13.6,Petrol,25000
0.5,Manual,Individual,0,2016,Hero Passion X pro,0.55,Petrol,31000
5.35,Manual,Dealer,0,2012,verna,9.4,Diesel,32322
6.4,Manual,Dealer,0,2016,jazz,8.4,Petrol,12000
7.25,Manual,Dealer,0,2015,ertiga,10.79,Diesel,41678
7.75,Manual,Dealer,0,2016,ertiga,10.79,Diesel,43000
5.95,Manual,Dealer,0,2015,verna,9.4,Petrol,36000
4.75,Manual,Dealer,0,2014,etios g,6.76,Petrol,40000
8.25,Manual,Dealer,0,2014,city,14,Diesel,63000
2,Manual,Dealer,0,2012,eon,4.43,Petrol,23709
4.75,Manual,Dealer,1,2015,xcent,7.13,Petrol,35866
12.5,Manual,Dealer,0,2015,innova,13.46,Diesel,38000
0.45,Automatic,Individual,0,2017,Honda Activa 4G,0.51,Petrol,4000
6.25,Manual,Dealer,0,2016,i20,7.6,Petrol,7000
3,Manual,Dealer,0,2016,alto k10,3.76,Petrol,10079
5.25,Manual,Dealer,0,2013,city,9.9,Petrol,54242
3,Manual,Dealer,0,2012,brio,5.35,Petrol,53675
6.5,Manual,Dealer,0,2017,jazz,8.7,Petrol,21200
0.45,Manual,Individual,0,2012,Bajaj Pulsar NS 200,0.99,Petrol,14500
0.35,Automatic,Individual,0,2016,Honda Activa 125,0.57,Petrol,24000
3.75,Manual,Dealer,0,2012,i20,6.79,Petrol,35000
6,Manual,Individual,0,2017,swift,6.49,Petrol,16200
0.4,Manual,Individual,0,2014,Bajaj Pulsar 135 LS,0.64,Petrol,13700
1.15,Manual,Individual,0,2015,Royal Enfield Classic 350,1.47,Petrol,17000
1.05,Manual,Individual,0,2011,Royal Enfield Thunder 350,1.5,Petrol,6900
1.15,Manual,Individual,0,2014,KTM 390 Duke ,2.4,Petrol,7000
2.75,Manual,Dealer,0,2015,eon,4.43,Petrol,28282
0.5,Manual,Individual,0,2013,Bajaj Pulsar NS 200,0.99,Petrol,45000
5.5,Manual,Dealer,0,2014,dzire,8.06,Diesel,45780
0.45,Manual,Individual,0,2011,Bajaj Avenger Street 220,0.95,Petrol,24000
5.25,Manual,Dealer,0,2015,brio,5.9,Petrol,14465
0.65,Manual,Individual,0,2015,Bajaj Pulsar 150,0.74,Petrol,5000
3.5,Manual,Dealer,0,2017,eon,5.43,Petrol,38488
0.3,Manual,Individual,0,2012,Hero Honda Passion Pro,0.51,Petrol,60000
5.4,Automatic,Dealer,0,2015,brio,6.82,Petrol,31427
3.51,Manual,Dealer,0,2005,innova,13.7,Petrol,75000
8.99,Manual,Dealer,0,2016,city,11.8,Petrol,9010
8.25,Manual,Dealer,0,2015,verna,9.4,Diesel,61381
4.5,Manual,Dealer,0,2012,verna,9.4,Petrol,36000
0.45,Manual,Individual,0,2014,TVS Apache RTR 180,0.826,Petrol,23000
10.9,Automatic,Dealer,0,2016,city,13.6,Petrol,30753
4.75,Manual,Dealer,0,2010,corolla altis,18.54,Petrol,50000
0.5,Manual,Individual,0,2012,Bajaj Pulsar NS 200,0.99,Petrol,13000
7.9,Manual,Dealer,0,2017,i20,8.1,Petrol,3435
0.45,Manual,Individual,0,2016,Hero Passion Pro,0.55,Petrol,1000
11.5,Manual,Dealer,0,2017,city,12.5,Diesel,9000
6.75,Manual,Dealer,0,2015,ciaz,8.12,Petrol,18796
0.75,Manual,Individual,0,2017,Honda CB Hornet 160R,0.87,Petrol,11000
7.45,Manual,Dealer,0,2015,ciaz,10.38,Diesel,45000
0.4,Manual,Individual,0,2015,Hero Passion Pro,0.55,Petrol,6700
0.48,Manual,Individual,0,2017,TVS Sport ,0.52,Petrol,15000
3.35,Manual,Dealer,0,2014,ritz,5.59,Petrol,27000
1.65,Manual,Individual,0,2017,KTM RC200,1.78,Petrol,4000
0.18,Manual,Individual,0,2015,Bajaj  ct 100,0.32,Petrol,35000
5,Manual,Dealer,0,2013,city,9.9,Petrol,56701
3.25,Manual,Dealer,0,2010,city,9.9,Petrol,38000
4.1,Manual,Dealer,0,2011,city,10,Petrol,69341
23,Automatic,Dealer,0,2015,fortuner,30.61,Diesel,40000
14.73,Manual,Dealer,0,2016,corolla altis,14.89,Diesel,23000
5.2,Manual,Dealer,0,2012,verna,9.4,Diesel,71000
8.75,Manual,Dealer,0,2016,ciaz,8.89,Diesel,20273
12.9,Manual,Dealer,0,2016,creta,13.6,Diesel,35934
2.9,Manual,Dealer,0,2016,eon,4.43,Petrol,12500
0.45,Automatic,Individual,0,2016,Activa 3g,0.54,Petrol,500
0.6,Manual,Individual,0,2016,Honda CB Hornet 160R,0.87,Petrol,15000
2.85,Manual,Dealer,0,2016,alto k10,3.95,Petrol,25000
2.55,Manual,Dealer,0,2011,i10,4.43,Petrol,57000
4.65,Manual,Dealer,0,2015,dzire,7.2,Petrol,48767
5.65,Manual,Dealer,0,2016,jazz,7.9,Petrol,28569
1.11,Manual,Individual,0,2015,Royal Enfield Classic 350,1.47,Petrol,17500
4.6,Manual,Dealer,0,2014,swift,6.87,Diesel,42450
5.25,Automatic,Dealer,0,2010,corolla altis,22.83,Petrol,80000
0.38,Manual,Individual,0,2015,Honda CB Unicorn,0.72,Petrol,38600
4.5,Manual,Dealer,0,2015,etios cross,7.7,Petrol,40588
6.85,Manual,Dealer,0,2015,ciaz,10.38,Diesel,51000
0.65,Manual,Individual,0,2017,TVS Apache RTR 160,0.81,Petrol,11800
2.55,Manual,Dealer,0,2014,alto k10,3.98,Petrol,46706
11.25,Manual,Dealer,0,2015,creta,13.6,Diesel,68000
23.5,Automatic,Dealer,0,2015,fortuner,35.96,Diesel,47000
0.45,Manual,Individual,0,2016,Hero Splender iSmart,0.54,Petrol,14000
4.75,Manual,Dealer,0,2015,etios gd,7.85,Diesel,40000
4.75,Manual,Dealer,0,2013,sx4,9.54,Diesel,43000
18.75,Automatic,Dealer,0,2014,fortuner,35.96,Diesel,78000
11.75,Manual,Dealer,0,2015,elantra,14.79,Diesel,43535
0.52,Manual,Individual,0,2010,Bajaj Pulsar 220 F,0.94,Petrol,45000
1.25,Manual,Dealer,0,2012,omni,2.69,Petrol,50000
1.15,Manual,Individual,0,2016,Mahindra Mojo XT300,1.4,Petrol,35000
9.7,Manual,Dealer,0,2015,city,13.6,Petrol,21780
0.4,Manual,Individual,0,2012,Yamaha FZ S ,0.83,Petrol,5500
0.2,Manual,Individual,0,2008,Hero  CBZ Xtreme,0.787,Petrol,50000
19.99,Automatic,Dealer,0,2014,fortuner,35.96,Diesel,41000
1.2,Manual,Individual,0,2017,Royal Enfield Classic 350,1.47,Petrol,11000
2.7,Manual,Dealer,0,2011,i10,4.6,Petrol,22517
0.4,Manual,Individual,0,2015,Hero Splender iSmart,0.54,Petrol,14000
17,Manual,Dealer,0,2017,corolla altis,18.64,Petrol,8700
3.6,Automatic,Dealer,0,2009,corolla altis,15.04,Petrol,70000
1.95,Manual,Dealer,0,2008,sx4,7.15,Petrol,58000
3.1,Manual,Dealer,0,2012,i10,4.6,Petrol,35775
0.65,Manual,Individual,0,2013,Hero Extreme,0.787,Petrol,16000
6,Manual,Dealer,0,2016,jazz,8.4,Petrol,4000
8.4,Manual,Dealer,0,2015,city,13.6,Petrol,34000
14.9,Automatic,Dealer,0,2012,fortuner,30.61,Diesel,104707
8.35,Manual,Dealer,0,2016,city,9.4,Diesel,19434
2.95,Manual,Dealer,0,2011,i10,4.6,Petrol,53460
11.25,Manual,Dealer,0,2016,creta,13.6,Petrol,22671
7.4,Automatic,Dealer,0,2016,jazz,8.5,Petrol,15059
7.45,Manual,Dealer,0,2013,corolla altis,18.61,Petrol,56001
3.45,Manual,Dealer,0,2013,etios liva,6.05,Petrol,47000
2.9,Manual,Dealer,0,2011,i20,6.79,Petrol,31604
1.95,Manual,Dealer,0,2010,alto k10,3.95,Petrol,44542
5.5,Manual,Dealer,0,2014,dzire,8.06,Diesel,45000
0.6,Manual,Individual,0,2016,Bajaj Avenger 150 street,0.8,Petrol,20000
0.4,Automatic,Individual,0,2017,Activa 4g,0.51,Petrol,1300
0.17,Automatic,Individual,0,2008,Activa 3g,0.52,Petrol,500000
6.15,Manual,Dealer,0,2013,verna,9.4,Diesel,45000
23,Automatic,Dealer,0,2015,fortuner,30.61,Diesel,40000
9.1,Manual,Dealer,0,2017,verna,9.4,Petrol,15141
10.11,Manual,Dealer,0,2016,city,13.6,Petrol,10980
0.65,Manual,Individual,0,2014,Honda CBR 150,1.2,Petrol,23500
11.45,Automatic,Dealer,0,2015,elantra,14.79,Petrol,12900
0.9,Manual,Individual,0,2009,Royal Enfield Classic 500,1.75,Petrol,40000
0.6,Manual,Individual,0,2015,Bajaj Avenger 220 dtsi,0.95,Petrol,16600
6.7,Manual,Dealer,0,2015,city,10,Petrol,18828
1.2,Manual,Individual,0,2016,KTM RC200,1.78,Petrol,6000
4.85,Manual,Dealer,0,2015,grand i10,5.7,Diesel,21125
5.75,Automatic,Dealer,0,2015,amaze,7.5,Petrol,44000
6.45,Manual,Dealer,0,2014,verna,8.4,Petrol,45078
1.05,Manual,Dealer,0,2006,wagon r,4.15,Petrol,65000
7.2,Manual,Dealer,0,2014,city,9.9,Diesel,48000
0.5,Manual,Individual,0,2014,Yamaha Fazer ,0.88,Petrol,8000
5.5,Manual,Dealer,0,2015,grand i10,5.7,Petrol,4492
35,Manual,Dealer,0,2010,land cruiser,92.6,Diesel,78000
1.7,Manual,Individual,0,2017,UM Renegade Mojave,1.82,Petrol,1400
19.75,Automatic,Dealer,0,2017,innova,23.15,Petrol,11000
4.75,Manual,Dealer,0,2014,etios liva,6.95,Diesel,45000
0.6,Manual,Individual,0,2013,Honda CBR 150,1.2,Petrol,32000
4.4,Manual,Dealer,0,2015,grand i10,5.7,Petrol,28200
3,Manual,Dealer,0,2009,city,10,Petrol,69562
7.75,Automatic,Dealer,0,2017,ciaz,9.29,Petrol,37000
6.5,Manual,Dealer,0,2015,s cross,8.61,Diesel,33429
0.25,Manual,Individual,0,2013,Honda CB twister,0.51,Petrol,32000
3.95,Manual,Dealer,0,2015,etios g,6.8,Petrol,36000
16,Automatic,Individual,0,2013,fortuner,30.61,Diesel,135000
0.1,Manual,Individual,0,2006,Bajaj Pulsar 150,0.75,Petrol,92233
0.2,Manual,Individual,1,2007,Hero Hunk,0.75,Petrol,49000
3.65,Manual,Dealer,0,2014,amaze,7,Petrol,35000
4,Automatic,Dealer,0,2008,corolla altis,22.78,Petrol,89000
0.75,Manual,Individual,0,2016,Bajaj Avenger 150,0.8,Petrol,7000
4.15,Manual,Dealer,0,2013,swift,5.87,Petrol,55138
3.1,Manual,Dealer,0,2016,eon,4.43,Petrol,11849
0.27,Manual,Individual,0,2013,Bajaj Discover 100,0.47,Petrol,21000
4.4,Manual,Dealer,0,2014,xcent,7.13,Petrol,34000
2.95,Manual,Dealer,0,2011,sx4,7.74,CNG,49998
3.5,Manual,Dealer,0,2013,brio,5.9,Petrol,9800
5.25,Manual,Dealer,1,2016,grand i10,5.7,Petrol,3493
3.75,Manual,Dealer,0,2014,amaze,6.8,Petrol,33019
4,Manual,Dealer,0,2013,i10,4.6,Petrol,30000
14.5,Automatic,Dealer,0,2012,fortuner,30.61,Diesel,89000
2.35,Manual,Dealer,0,2011,ritz,4.89,Petrol,54200
4.8,Manual,Dealer,0,2013,verna,9.4,Petrol,60241
4.5,Automatic,Dealer,0,2013,i20,6.79,Petrol,32000
9.25,Manual,Dealer,0,2018,vitara brezza,9.83,Diesel,2071
9.15,Manual,Dealer,0,2016,city,13.6,Petrol,29223
4.5,Manual,Dealer,0,2011,corolla altis,12.48,Diesel,45000
18,Automatic,Dealer,0,2017,innova,19.77,Diesel,15000
0.9,Manual,Individual,0,2017,Bajaj Avenger 220,0.95,Petrol,1300
0.15,Manual,Individual,1,2011,Bajaj Discover 125,0.57,Petrol,35000
4.95,Manual,Dealer,0,2012,verna,9.4,Diesel,60000
1.2,Manual,Individual,0,2016,Royal Enfield Thunder 350,1.5,Petrol,18000
2.65,Manual,Dealer,0,2010,sx4,7.98,Petrol,41442
9.5,Manual,Dealer,0,2016,city,11.6,Diesel,33988
4.5,Manual,Dealer,0,2015,etios cross,7.27,Petrol,40534
1.05,Manual,Individual,0,2013,Royal Enfield Thunder 500,1.9,Petrol,5400
5.4,Manual,Dealer,0,2015,brio,6.1,Petrol,31427
6.95,Manual,Dealer,0,2013,corolla altis,18.61,Petrol,40001
1.1,Manual,Individual,0,2015,Royal Enfield Thunder 500,1.9,Petrol,14000
0.45,Manual,Individual,0,2010,Bajaj Avenger 220 dtsi,0.95,Petrol,27000
4,Manual,Dealer,0,2015,brio,5.9,Petrol,60000
0.48,Manual,Individual,0,2017,Honda Dream Yuga ,0.54,Petrol,8600
5.85,Automatic,Dealer,0,2016,baleno,7.87,Petrol,24524
5.9,Manual,Dealer,0,2012,corolla altis,13.74,Petrol,56000
0.48,Automatic,Individual,0,2017,Honda Activa 4G,0.51,Petrol,4300
0.6,Manual,Individual,0,2015,Yamaha FZ  v 2.0,0.84,Petrol,29000
1.25,Manual,Individual,0,2013,Royal Enfield Thunder 350,1.5,Petrol,15000
0.51,Manual,Individual,0,2016,Bajaj Pulsar 220 F,0.94,Petrol,24000
2.25,Manual,Dealer,0,2010,jazz,7.5,Petrol,61203
0.38,Manual,Individual,0,2011,Hero Honda CBZ extreme,0.787,Petrol,75000
2.9,Manual,Dealer,0,2013,wagon r,4.41,Petrol,56879
0.95,Manual,Individual,0,2012,Royal Enfield Classic 500,1.75,Petrol,11500
1,Manual,Individual,0,2013,Royal Enfield Classic 350,1.47,Petrol,46500
1.75,Manual,Individual,0,2016,Royal Enfield Thunder 500,1.9,Petrol,3000
1.05,Manual,Individual,0,2016,Royal Enfield Bullet 350,1.17,Petrol,6000
0.42,Manual,Individual,0,2014,TVS Apache RTR 160,0.81,Petrol,42000
2.85,Manual,Dealer,0,2017,alto 800,3.6,Petrol,2135
0.12,Manual,Individual,0,2007,Honda CB Shine,0.58,Petrol,53000
2.5,Automatic,Individual,3,2006,camry,23.73,Petrol,142000
6.25,Manual,Dealer,0,2014,city,13.6,Petrol,40126
5.8,Manual,Dealer,0,2015,ertiga,7.71,Petrol,25870
5.25,Manual,Dealer,0,2017,grand i10,5.7,Petrol,20114
0.25,Manual,Individual,0,2013,Hero Glamour,0.57,Petrol,18000
7.45,Manual,Dealer,0,2015,ciaz,8.92,Diesel,42367
1.05,Manual,Individual,0,2016,Bajaj Pulsar RS200,1.26,Petrol,5700
4.8,Manual,Dealer,0,2017,brio,5.8,Petrol,19000
5.3,Manual,Dealer,0,2016,brio,5.9,Petrol,5464
3.9,Manual,Dealer,0,2013,grand i10,5.7,Diesel,53000
0.55,Manual,Individual,0,2014,Hero Extreme,0.787,Petrol,15000
0.75,Manual,Individual,0,2017,Bajaj Avenger 220,0.95,Petrol,3500
2.25,Manual,Dealer,0,2003,sx4,7.98,Petrol,62000
0.72,Manual,Individual,0,2016,Bajaj Avenger 220,0.95,Petrol,500
2.75,Manual,Individual,0,2005,innova,10.21,Petrol,90000
3.8,Manual,Dealer,0,2009,corolla altis,18.61,Petrol,62000
9.25,Manual,Dealer,0,2017,verna,9.4,Petrol,15001
1.35,Manual,Individual,1,2014,Hyosung GT250R,3.45,Petrol,16500
3.25,Manual,Dealer,1,2010,i20,6.79,Diesel,58000
1.35,Manual,Individual,0,2017,Royal Enfield Classic 350,1.47,Petrol,4100
4.9,Manual,Dealer,0,2017,ignis,5.71,Petrol,2400
0.2,Manual,Individual,1,2012,Bajaj Discover 125,0.57,Petrol,25000
8.5,Manual,Dealer,0,2015,city,13.6,Petrol,40324
