Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2012,75800,Diesel,Manual,2,16.55,2498,105.0,6.0,6.6
2015,13648,Diesel,Automatic,1,17.11,1968,174.33,5.0,25.72
2014,52000,Diesel,Manual,1,22.9,1248,74.0,5.0,5.1
2014,53000,Diesel,Manual,1,17.8,1248,75.0,5.0,3.96
2013,65650,Diesel,Manual,1,28.4,1248,74.0,5.0,4.62
2015,54000,Petrol,Manual,3,18.9,1197,82.0,5.0,4.32
2015,39000,Petrol,Manual,1,15.04,1598,103.2,5.0,4.79
2017,16542,Petrol,Manual,1,25.17,799,53.3,5.0,3.96
2010,32000,Petrol,Manual,1,20.36,1197,78.9,5.0,2.48
2010,121812,Diesel,Automatic,1,13.29,1995,147.6,5.0,9.3
2010,39300,Petrol,Manual,1,18.2,998,67.1,5.0,2.7
2017,22000,Diesel,Manual,1,13.68,2393,147.8,8.0,19.8
2010,72000,Diesel,Manual,1,20.0,1399,68.0,5.0,3.3
2015,58000,Petrol,Automatic,1,11.74,1796,186.0,5.0,32.04
2011,65000,Diesel,Manual,2,15.8,2148,170.0,5.0,12.0
2016,178000,Diesel,Manual,1,25.0,1396,69.0,5.0,3.0
2012,65664,Diesel,Automatic,1,16.55,1968,140.0,5.0,16.2
2007,63000,Petrol,Automatic,2,16.4,1497,78.0,5.0,2.22
2019,15369,Diesel,Automatic,1,0.0,1950,194.0,5.0,42.8
2016,63000,Diesel,Manual,1,24.52,1248,88.5,7.0,9.78
2018,13000,Diesel,Manual,1,22.1,1396,88.7,5.0,12.6
2008,73000,Petrol,Automatic,1,8.5,4806,500.0,5.0,17.4
2015,55729,Diesel,Manual,1,15.1,2179,140.0,7.0,11.58
2012,45178,Petrol,Automatic,1,16.95,1197,78.9,5.0,4.18
2015,56066,Diesel,Manual,1,19.64,1461,108.5,5.0,8.3
2016,37300,Petrol,Automatic,2,16.5,1198,86.8,5.0,7.75
2014,56000,Diesel,Automatic,2,18.53,1968,187.74,5.0,35.4
2008,111111,Diesel,Manual,1,17.8,1399,112.0,5.0,2.4
2006,230000,Petrol,Manual,3,12.4,1998,132.0,8.0,5.4
2012,104000,Diesel,Manual,1,12.8,2494,102.0,7.0,14.1
2005,87591,Petrol,Manual,1,0.0,1086,112.0,5.0,1.56
2012,95100,Diesel,Manual,1,22.9,1248,74.0,5.0,4.5
2017,70000,Petrol,Manual,1,17.57,1193,88.7,5.0,5.4
2016,54944,Petrol,Manual,1,18.0,1198,86.7,5.0,5.78
2012,70337,Diesel,Manual,1,20.0,1399,68.0,5.0,3.36
2013,99638,Diesel,Manual,1,23.2,1248,73.94,5.0,3.73
2009,52000,Petrol,Manual,1,17.8,1497,117.3,5.0,3.9
2011,75000,Diesel,Automatic,2,16.73,1995,218.0,5.0,16.68
2009,95980,Petrol,Manual,1,20.36,1197,78.9,5.0,2.7
2016,16000,Petrol,Manual,1,18.9,1197,82.0,5.0,6.9
2007,73745,Petrol,Manual,1,17.0,1086,112.0,5.0,2.52
2016,18949,Petrol,Manual,1,17.8,1198,86.7,5.0,6.0
2014,107000,Diesel,Manual,1,13.0,2982,168.5,7.0,19.8
2018,48367,Diesel,Automatic,1,17.68,1968,174.33,5.0,47.5
2013,57000,Diesel,Manual,1,22.7,1498,89.84,5.0,6.6
2014,58000,Diesel,Manual,1,15.1,2179,140.0,7.0,9.72
2015,30000,Diesel,Manual,1,25.8,1498,98.6,5.0,4.2
2013,34212,Diesel,Manual,1,22.07,1199,73.9,5.0,3.35
2010,70002,Diesel,Manual,1,16.2,1493,110.0,5.0,4.14
2016,62000,Petrol,Manual,1,18.9,998,67.1,5.0,5.34
2010,62001,Petrol,Manual,1,15.26,1598,103.5,5.0,3.18
2011,78958,Diesel,Manual,2,23.0,1396,90.0,5.0,4.56
2014,30180,Petrol,Manual,1,18.5,1197,82.85,5.0,5.58
2017,32851,Petrol,Manual,1,19.83,1198,67.0,7.0,4.74
2010,30000,Diesel,Automatic,1,14.94,2967,241.4,5.0,11.76
2009,66000,Petrol,Manual,2,17.0,1197,80.0,5.0,3.24
2010,93850,Petrol,Manual,1,14.0,796,35.0,5.0,2.89
2014,53000,Petrol,Manual,1,17.71,1197,78.9,5.0,4.68
2011,78000,Diesel,Automatic,2,14.74,2993,270.9,5.0,28.8
2012,65000,Diesel,Manual,2,16.0,2179,140.0,7.0,6.9
2014,40000,Diesel,Automatic,1,22.32,1582,126.32,5.0,6.3
2017,30000,Diesel,Automatic,1,11.36,2755,171.5,7.0,23.1
2017,38053,Petrol,Manual,1,15.1,1196,73.0,5.0,4.69
2014,25500,Petrol,Manual,1,25.4,624,37.5,4.0,2.58
2015,56087,Diesel,Automatic,1,22.69,1995,190.0,5.0,24.9
2010,71088,Petrol,Manual,1,13.5,1799,130.0,5.0,4.02
2014,55000,Diesel,Manual,1,12.99,2494,100.6,7.0,13.33
2014,32700,Diesel,Automatic,1,23.3,1984,150.0,5.0,24.0
2016,39882,Petrol,Automatic,1,19.15,1198,75.94,5.0,7.86
2009,128000,Petrol,Automatic,1,10.8,2497,215.0,5.0,8.4
2016,55000,Diesel,Manual,1,24.3,1248,88.5,5.0,9.0
2005,102000,Petrol,Manual,2,17.0,1086,112.0,5.0,1.02
2014,53753,Diesel,Automatic,2,15.0,2143,107.3,5.0,20.1
2018,10250,Diesel,Manual,1,22.0,1582,126.2,5.0,13.14
2011,43874,Petrol,Manual,1,18.9,998,67.1,5.0,2.94
2017,32684,Petrol,Automatic,1,21.9,624,37.48,4.0,3.88
2014,42000,Diesel,Manual,1,12.05,2179,120.0,8.0,9.3
2009,28352,Petrol,Automatic,1,11.7,1796,178.0,5.0,11.22
2007,47700,Petrol,Manual,2,10.8,2354,152.0,5.0,6.3
2015,55000,Diesel,Automatic,1,21.21,1498,103.2,5.0,8.7
2017,44285,Petrol,Manual,1,20.73,1373,91.1,5.0,8.96
2016,54000,Diesel,Automatic,1,16.0,2179,140.0,7.0,15.9
2016,30232,Petrol,Manual,1,21.1,1197,85.8,5.0,6.97
2014,88500,Petrol,Manual,1,24.07,998,67.1,5.0,3.12
2017,13372,Petrol,Automatic,1,19.0,2996,362.07,2.0,64.8
2019,12645,Petrol,Automatic,1,17.0,1591,121.3,5.0,13.8
2010,94385,Petrol,Manual,2,19.7,796,46.3,5.0,1.92
2015,31821,Diesel,Automatic,1,20.58,1995,143.0,5.0,20.66
2015,12000,Petrol,Automatic,1,19.0,1199,88.7,5.0,7.2
2012,88578,Petrol,Manual,1,13.5,1799,130.0,5.0,4.74
2014,44965,Diesel,Automatic,1,19.27,2143,170.0,5.0,21.54
2014,45044,Diesel,Manual,1,25.8,1498,98.6,5.0,4.44
2016,34204,Petrol,Manual,1,22.0,1197,81.8,5.0,6.52
2008,80759,Petrol,Manual,3,17.0,1086,112.0,5.0,2.0
2012,91235,Diesel,Manual,1,11.5,2982,171.0,7.0,16.19
2014,38800,Petrol,Manual,1,18.6,1199,76.8,5.0,3.42
2013,83000,Diesel,Manual,1,21.14,1498,103.52,5.0,5.7
2018,41283,Petrol,Manual,1,20.73,1373,91.1,5.0,11.88
2013,23000,Petrol,Automatic,1,11.05,2894,444.0,4.0,44.4
2014,48000,Diesel,Automatic,1,21.76,1995,190.0,5.0,31.8
2015,48214,Diesel,Automatic,1,17.11,1968,174.33,5.0,27.98
2016,35000,Diesel,Manual,1,22.9,1248,74.0,5.0,7.5
2010,35277,Petrol,Automatic,1,7.81,5461,362.9,5.0,36.0
2016,54620,Diesel,Automatic,1,21.66,1498,103.52,5.0,11.83
2012,136997,Diesel,Automatic,1,17.2,1968,138.1,5.0,10.2
2019,14322,Petrol,Manual,1,21.1,814,55.2,5.0,5.08
2012,65634,Diesel,Manual,1,22.07,1199,73.9,5.0,4.2
2016,6000,Petrol,Manual,1,20.63,1198,67.06,5.0,3.0
2013,33280,Petrol,Manual,1,19.4,1198,86.8,5.0,2.87
2013,29000,Petrol,Automatic,1,14.8,1595,120.7,5.0,13.5
2015,42831,Diesel,Manual,1,26.0,1498,98.6,5.0,8.53
2016,90000,Diesel,Manual,1,12.99,2494,100.6,7.0,13.08
2017,24005,Petrol,Manual,1,20.4,1197,81.8,5.0,7.44
2012,32792,Diesel,Manual,1,15.1,2179,140.0,7.0,9.48
2014,147898,Diesel,Manual,1,22.7,1498,89.84,5.0,5.3
2012,131765,Diesel,Manual,1,13.0,2982,168.5,7.0,16.2
2013,65000,Diesel,Automatic,1,21.5,1498,108.5,5.0,7.5
2010,66123,Diesel,Manual,2,20.0,1399,68.0,5.0,2.52
2015,41000,Diesel,Automatic,1,15.3,2993,258.0,5.0,54.0
2017,23550,Diesel,Automatic,1,19.27,2143,167.62,5.0,40.39
2012,45000,Petrol,Manual,2,19.4,1198,86.8,5.0,4.38
2013,60000,Petrol,Manual,1,20.36,1197,78.9,5.0,3.3
2016,44414,Diesel,Automatic,1,17.9,2143,170.0,5.0,51.0
2019,1000,Petrol,Manual,1,18.9,1197,81.86,5.0,7.8
2012,62500,Diesel,Automatic,2,17.68,1968,174.33,5.0,22.8
2013,21000,Petrol,Automatic,2,14.4,1598,103.6,5.0,5.34
2017,8525,Diesel,Automatic,2,16.6,1998,112.0,5.0,27.6
2014,29000,Diesel,Manual,1,22.54,1396,88.73,5.0,10.02
2014,40000,Diesel,Automatic,1,17.68,1968,174.33,5.0,27.54
2012,88000,Diesel,Manual,1,25.44,936,57.6,5.0,1.8
2012,53537,Petrol,Automatic,1,13.7,1798,157.75,5.0,8.27
2006,216000,Diesel,Manual,2,17.8,1399,68.0,5.0,1.74
2014,51000,Diesel,Automatic,1,22.48,1995,190.0,5.0,40.2
2007,118500,Petrol,Manual,1,12.9,1598,102.5,5.0,1.5
2012,63000,Diesel,Manual,1,22.07,1199,73.9,5.0,5.04
2015,25000,Diesel,Manual,1,19.98,1461,108.5,8.0,8.1
2014,37382,Diesel,Automatic,1,13.0,2143,201.1,5.0,38.4
2017,24773,Petrol,Manual,1,21.4,1197,83.1,5.0,9.0
2012,62000,Diesel,Manual,1,22.32,1582,126.32,5.0,5.52
2017,52340,Petrol,Manual,1,19.81,1086,68.05,5.0,4.85
2016,56739,Diesel,Manual,1,15.4,1997,120.0,7.0,12.37
2018,36091,Diesel,Automatic,1,12.7,2179,187.7,5.0,66.91
2010,120000,Diesel,Manual,1,20.0,1399,68.0,5.0,3.12
2016,33000,Diesel,Manual,1,25.47,1248,88.5,7.0,10.2
2014,52000,Diesel,Manual,1,25.8,1498,98.6,5.0,4.2
2015,43571,Petrol,Manual,1,20.36,1197,78.9,5.0,4.26
2013,50000,Diesel,Manual,1,25.8,1498,98.6,5.0,3.9
2008,113000,Diesel,Manual,1,17.5,1896,106.0,5.0,5.4
2014,90000,Diesel,Manual,1,19.87,1461,83.8,5.0,6.42
2017,29000,Diesel,Manual,2,17.45,1493,100.0,7.0,7.8
2016,20000,Diesel,Manual,1,24.3,1248,88.5,5.0,10.8
2016,61012,Petrol,Manual,1,18.6,1197,81.83,5.0,7.2
2009,87459,Petrol,Manual,1,14.7,1390,85.0,5.0,3.3
2010,70500,Petrol,Manual,1,15.64,1193,64.1,5.0,1.8
2015,64103,Diesel,Automatic,1,15.73,1968,174.33,5.0,23.88
2014,76000,Petrol,Automatic,1,14.7,1798,177.5,5.0,12.0
2014,104000,Diesel,Manual,1,23.59,1364,67.06,5.0,3.6
2014,37245,Petrol,Automatic,1,14.8,1595,120.7,5.0,14.35
2013,45000,Diesel,Manual,1,27.4,1498,98.6,5.0,3.9
2012,117837,Diesel,Manual,2,22.32,1582,126.32,5.0,5.7
2014,30000,Diesel,Manual,1,20.46,1461,83.8,5.0,7.14
2015,27057,Petrol,Manual,2,15.29,1591,121.3,5.0,9.78
2016,8500,Petrol,Automatic,1,20.51,998,67.0,5.0,5.06
2010,30500,Petrol,Automatic,1,11.74,1796,186.0,5.0,12.6
2012,56000,Diesel,Automatic,1,11.8,2967,246.7,5.0,54.0
2012,44000,Petrol,Manual,2,19.81,1086,68.05,5.0,3.48
2017,10500,Petrol,Automatic,1,14.3,1598,103.52,5.0,10.68
2017,26000,Petrol,Automatic,1,14.67,1798,177.46,5.0,31.2
2018,25166,Petrol,Manual,1,17.19,1197,81.86,5.0,9.86
2014,64000,Diesel,Manual,2,25.8,1498,98.6,5.0,4.2
2004,61000,Petrol,Manual,2,18.9,998,67.1,5.0,1.5
2013,107000,Diesel,Manual,1,21.03,1461,65.0,5.0,4.44
2018,29161,Diesel,Automatic,1,19.27,2143,167.62,5.0,47.29
2013,32000,Petrol,Manual,1,22.5,998,67.04,5.0,3.18
2015,46173,Diesel,Manual,2,19.01,1461,108.5,5.0,10.7
2013,47000,Diesel,Manual,1,17.8,1248,112.0,5.0,4.92
2017,26327,Petrol,Automatic,1,16.82,1998,189.08,4.0,42.8
2007,200000,Diesel,Manual,2,17.2,1396,53.5,5.0,1.02
2016,60813,Petrol,Manual,2,18.6,1199,76.8,5.0,3.98
2012,45000,Diesel,Manual,1,22.07,1199,73.9,5.0,4.32
2016,64000,Diesel,Manual,1,22.9,1248,74.0,5.0,8.16
2012,41284,Diesel,Manual,1,20.0,1399,68.05,5.0,3.0
2019,14165,Diesel,Automatic,1,11.36,2755,171.5,7.0,23.57
2011,67000,Diesel,Automatic,2,11.72,2199,194.3,7.0,8.4
2011,32572,Petrol,Manual,1,17.4,1497,117.3,5.0,4.64
2018,14960,Petrol,Manual,1,18.6,1197,81.83,5.0,7.52
2015,55980,Diesel,Automatic,1,19.27,2143,167.62,5.0,21.74
2013,74000,Diesel,Manual,1,25.44,936,57.6,5.0,3.18
2015,56847,Diesel,Manual,1,22.54,1396,88.73,5.0,8.64
2015,121374,Diesel,Manual,1,12.99,2494,100.6,7.0,17.16
2013,52000,Diesel,Manual,1,20.77,1248,88.76,7.0,8.28
2014,118000,Diesel,Manual,1,12.8,2494,102.0,7.0,12.9
2007,72000,Petrol,Manual,3,17.0,1086,112.0,5.0,1.14
2016,33915,Petrol,Manual,1,17.8,1497,117.3,5.0,9.71
2014,82002,Diesel,Automatic,1,17.05,1995,184.0,5.0,22.2
2017,33000,Diesel,Manual,1,24.0,1120,70.0,5.0,5.7
2016,34000,Diesel,Manual,1,28.09,1248,88.5,5.0,10.14
2012,55000,Diesel,Manual,1,20.5,1598,103.6,5.0,4.2
2006,160538,Diesel,Manual,1,13.1,1493,82.0,5.0,2.16
2014,60000,Diesel,Manual,2,19.91,1498,103.6,5.0,4.44
2017,49575,Petrol,Manual,1,18.7,1199,88.7,5.0,8.6
2010,83000,Petrol,Manual,1,19.81,1086,68.05,5.0,2.1
2018,51346,Diesel,Automatic,1,16.38,1995,183.0,5.0,26.39
2017,43000,Diesel,Manual,1,13.68,2393,147.8,7.0,22.38
2011,35000,Petrol,Manual,3,19.7,796,35.0,5.0,2.22
2017,27872,Petrol,Manual,2,20.4,1197,81.8,5.0,7.14
2014,16514,Petrol,Manual,1,18.9,1197,82.0,5.0,4.5
2012,120000,Diesel,Manual,1,22.9,1248,74.0,5.0,4.5
2008,143275,Diesel,Manual,1,22.0,1582,126.2,5.0,3.12
2006,99000,Petrol,Manual,1,0.0,1086,112.0,5.0,2.1
2010,52000,Petrol,Manual,1,17.0,1197,80.0,5.0,3.36
2017,29819,Diesel,Automatic,1,11.57,2987,254.79,5.0,73.55
2014,57000,Diesel,Manual,2,15.8,2148,170.0,5.0,21.6
2014,88500,Diesel,Manual,1,23.2,1248,73.94,5.0,5.22
2016,28000,Diesel,Manual,1,19.67,1582,126.2,5.0,16.5
2010,67000,Petrol,Manual,1,19.0,998,66.1,5.0,2.4
2016,26000,Diesel,Manual,1,19.64,1461,108.45,5.0,12.0
2010,120000,Diesel,Manual,1,17.8,1248,76.0,5.0,1.98
2017,51982,Diesel,Automatic,1,16.55,2993,258.0,5.0,54.92
2010,36000,Petrol,Manual,2,20.36,1197,78.9,5.0,3.9
2016,47000,Diesel,Manual,1,12.8,2494,102.0,7.0,15.36
2002,60000,Petrol,Manual,3,17.3,993,60.0,5.0,0.66
2018,31025,Diesel,Manual,1,28.4,1248,74.0,5.0,8.58
2013,105000,Diesel,Manual,2,12.05,2179,120.0,8.0,8.4
2017,121900,Diesel,Manual,1,22.95,1248,74.0,5.0,4.5
2017,22695,Petrol,Manual,1,18.88,999,123.24,5.0,10.2
2012,73000,Diesel,Manual,1,23.4,1248,74.0,5.0,5.22
2016,32227,Petrol,Manual,1,22.74,796,47.3,5.0,3.91
2011,55000,Petrol,Manual,1,17.0,1497,118.0,5.0,5.05
2018,11287,Diesel,Automatic,1,12.07,2967,241.4,7.0,84.43
2009,48000,Diesel,Automatic,2,17.0,1896,105.0,5.0,3.54
2012,54308,Petrol,Manual,1,17.1,1591,121.3,5.0,5.14
2009,78442,Petrol,Automatic,1,16.8,1497,118.0,5.0,4.28
2013,46000,Diesel,Manual,1,21.9,1396,88.8,5.0,3.73
2014,45051,Petrol,Automatic,1,15.0,1396,98.6,5.0,7.15
2011,69000,Diesel,Manual,1,20.54,1598,103.6,5.0,5.64
2014,49000,Petrol,Manual,1,17.4,1497,117.3,5.0,8.28
2018,45000,Diesel,Manual,1,22.95,1248,74.0,5.0,6.3
2015,64000,Diesel,Automatic,1,18.48,1995,177.0,5.0,33.6
2009,60000,Petrol,Manual,1,18.9,1061,67.0,5.0,1.62
2015,62178,Petrol,Manual,1,18.2,1199,88.7,5.0,5.82
2012,58006,Diesel,Manual,1,15.0,1896,105.0,5.0,8.04
2010,74000,Petrol,Manual,1,20.36,1197,78.9,5.0,3.72
2015,77771,Diesel,Automatic,1,19.27,2143,170.0,5.0,22.37
2012,45275,Petrol,Manual,1,20.36,1197,78.9,5.0,3.36
2016,48000,Diesel,Manual,1,13.68,2393,147.8,7.0,24.3
2015,31652,Diesel,Automatic,1,17.68,1968,174.33,5.0,32.14
2010,109000,Diesel,Manual,2,12.99,2494,100.6,7.0,9.91
2015,31978,Petrol,Manual,1,16.47,1198,73.9,5.0,4.67
2011,70000,Petrol,Manual,1,20.92,998,67.1,5.0,2.52
2017,15000,Petrol,Automatic,1,18.0,1497,117.3,5.0,15.23
2013,59138,Diesel,Manual,1,17.0,1405,70.0,5.0,3.1
2014,61726,Diesel,Automatic,1,17.68,1968,174.33,5.0,24.92
2015,48000,Diesel,Automatic,1,17.9,2143,136.0,5.0,24.31
2006,58000,Petrol,Manual,2,0.0,1086,112.0,5.0,1.8
2011,60020,Diesel,Manual,1,17.8,1248,112.0,5.0,3.0
2014,77815,Petrol,Automatic,1,23.1,998,67.04,5.0,5.1
2017,29000,Diesel,Automatic,1,17.9,2143,201.15,5.0,68.4
2017,44000,Diesel,Automatic,1,12.7,2179,187.7,5.0,52.8
2011,108626,Diesel,Manual,1,20.54,1598,103.6,5.0,4.38
2012,71791,Petrol,Manual,1,14.0,796,35.0,5.0,2.46
2012,91931,Petrol,Manual,1,18.5,1198,86.8,5.0,3.76
2000,158000,Diesel,Manual,2,14.07,2956,83.1,7.0,1.8
2012,91183,Diesel,Manual,1,18.0,1248,75.0,5.0,3.42
2012,65000,Petrol,Manual,1,18.9,998,67.1,5.0,3.18
2015,88428,Diesel,Manual,1,16.0,2179,140.0,7.0,12.72
2008,138000,Diesel,Manual,2,17.1,1396,70.0,5.0,1.5
2018,18000,Petrol,Manual,1,16.02,1373,93.7,7.0,9.9
2011,60000,Petrol,Automatic,1,11.7,2354,177.6,5.0,5.34
2012,48000,Diesel,Manual,1,19.3,1248,73.9,5.0,4.44
2009,160000,Diesel,Manual,1,17.8,1399,68.0,5.0,3.36
2008,40000,Petrol,Manual,1,17.7,1497,78.0,5.0,2.16
2014,51495,Diesel,Automatic,1,17.68,1968,174.33,5.0,26.34
2011,30000,Diesel,Automatic,1,9.52,2993,313.0,4.0,58.8
2017,97430,Diesel,Automatic,1,14.75,2967,245.0,7.0,75.2
2012,83000,Diesel,Manual,1,23.0,1396,90.0,5.0,6.6
2009,37000,Petrol,Automatic,3,16.95,1197,78.9,5.0,3.54
2016,28503,Petrol,Automatic,1,19.0,1199,88.7,5.0,8.23
2015,76496,Diesel,Manual,1,25.2,1248,74.0,5.0,7.38
2011,79152,Petrol,Manual,2,18.5,1197,82.85,5.0,3.96
2011,32000,Petrol,Manual,1,16.47,1198,73.9,5.0,3.06
2009,35000,Petrol,Manual,1,19.7,796,46.3,5.0,1.8
2004,105000,Petrol,Automatic,2,11.3,1794,125.0,5.0,3.0
2006,56000,Petrol,Manual,2,19.7,796,46.3,5.0,1.68
2012,73000,Diesel,Manual,1,21.12,1248,88.8,5.0,4.08
2012,38000,Petrol,Manual,1,19.7,796,46.3,5.0,2.7
2013,775000,Diesel,Automatic,1,19.3,1968,141.0,5.0,9.0
2008,80000,Petrol,Automatic,1,11.3,1794,125.0,5.0,3.36
2016,24973,Petrol,Manual,1,18.6,1197,81.83,5.0,9.19
2016,45000,Diesel,Manual,1,24.3,1248,88.5,5.0,8.58
2010,87430,Petrol,Manual,1,17.0,1497,118.0,5.0,4.2
2014,133944,Diesel,Manual,2,18.0,1248,75.0,5.0,4.2
2013,57000,Diesel,Manual,1,25.8,1498,98.6,5.0,4.14
2016,27904,Petrol,Manual,1,21.1,814,55.2,5.0,4.26
2015,30717,Diesel,Automatic,2,21.76,1995,190.0,5.0,31.19
2012,80000,Diesel,Manual,1,22.32,1582,126.32,5.0,6.3
2013,47304,Diesel,Manual,1,21.02,1248,88.8,5.0,3.48
2005,100000,Petrol,Automatic,1,14.45,1984,227.0,5.0,2.46
2017,30000,Petrol,Manual,1,24.07,998,67.1,5.0,4.5
2014,68000,Diesel,Manual,1,22.7,1498,89.84,5.0,8.1
2011,21000,Petrol,Manual,2,18.0,995,62.0,5.0,1.14
2017,21000,Diesel,Automatic,1,19.33,1999,177.0,5.0,62.4
2007,119000,Petrol,Manual,3,13.1,1997,141.1,5.0,4.69
2019,13747,Petrol,Automatic,1,14.67,1798,177.46,5.0,32.76
2009,620000,Petrol,Manual,1,20.36,1197,78.9,5.0,3.24
2013,70000,Diesel,Manual,1,22.9,1248,74.0,5.0,4.2
2016,18000,Petrol,Automatic,1,18.5,1197,83.14,5.0,7.44
2011,83000,Diesel,Manual,1,23.08,1461,63.1,5.0,3.3
2015,130000,Diesel,Manual,1,23.4,1248,74.0,5.0,3.9
2012,63400,Diesel,Manual,1,17.8,1399,67.0,5.0,3.9
2003,65000,Petrol,Manual,1,17.3,993,60.0,5.0,0.78
2017,8350,Petrol,Manual,1,13.8,1998,192.0,5.0,42.0
2014,45000,Diesel,Manual,1,23.59,1364,67.05,5.0,3.9
2018,26200,Petrol,Manual,1,24.7,796,47.3,5.0,3.48
2011,11000,Petrol,Manual,3,18.9,796,47.0,5.0,3.48
2009,90000,Diesel,Automatic,2,11.0,2993,235.0,5.0,21.3
2015,74000,Petrol,Automatic,2,11.07,2496,179.5,5.0,9.9
2015,37081,Petrol,Automatic,1,18.9,1197,82.0,5.0,6.92
2017,39000,Diesel,Manual,1,24.3,1248,88.5,5.0,11.39
2008,99000,Diesel,Automatic,3,12.07,2967,241.4,7.0,15.54
2015,38000,Diesel,Automatic,1,17.9,2143,136.0,5.0,24.0
2007,72000,Petrol,Manual,3,16.1,796,37.0,4.0,1.2
2015,93000,Diesel,Manual,2,20.45,1461,83.8,5.0,8.52
2017,5900,Diesel,Manual,1,21.43,1364,87.2,5.0,19.8
2014,25000,Diesel,Manual,1,15.8,2148,170.0,5.0,31.2
2010,68000,Diesel,Manual,2,21.1,1248,73.9,5.0,3.84
2017,35676,Petrol,Automatic,1,16.0,1497,117.3,7.0,11.38
2015,74310,Diesel,Manual,1,24.4,1120,71.0,5.0,4.8
2014,59364,Diesel,Automatic,1,14.21,2143,203.0,5.0,31.8
2014,41380,Petrol,Automatic,2,14.8,1595,120.7,5.0,14.12
2017,33900,Diesel,Automatic,1,15.0,2143,204.0,5.0,44.4
2016,28000,Petrol,Manual,1,17.8,1497,117.3,5.0,10.5
2007,50958,Petrol,Manual,1,17.0,1086,112.0,5.0,2.34
2011,93982,Petrol,Manual,1,17.0,1497,118.0,5.0,4.5
2010,95000,Petrol,Manual,1,16.2,1599,103.2,5.0,3.0
2017,9000,Petrol,Automatic,1,13.5,1999,246.74,5.0,41.4
2015,52516,Petrol,Manual,1,18.0,1198,86.7,5.0,5.58
